Thread ID: 70174741057220
Total: 664.733650

 %self     total     self     wait    child    calls  name
  0.26      1.72     1.72     0.00     0.00   192561  <Class::ActiveRecord::Base>#logger (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/core_ext/class/attribute_accessors.rb:36}
  0.26      1.71     1.71     0.00     0.00   952385  Module#to_s (ruby_runtime:0}
  0.26    152.73     1.71     0.00   151.18   222994  ActiveRecord::Relation#scoping (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:179}
  0.25     12.94     1.67     0.00    11.27   254174  <Class::ActiveRecord::Base>#respond_to? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:890}
  0.25      3.26     1.65     0.00     1.61   161973  Arel::Nodes::SelectCore#initialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/nodes/select_core.rb:7}
  0.25      3.36     1.63     0.00     1.72   555568  <Class::#<Class:0x007fa5a98517f8>>#new (ruby_runtime:0}
  0.24      3.63     1.63     0.00     2.00   549954  ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher#match (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/attribute_methods.rb:354}
  0.24      1.61     1.61     0.00     0.00   992631  Thread#[]= (ruby_runtime:0}
  0.24     65.98     1.60     0.00    64.38    30553  ActiveRecord::Base#initialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1549}
  0.24      7.49     1.59     0.00     5.90   354106  ActiveRecord::Relation#with_default_scope (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:439}
  0.24      6.70     1.58     0.00     5.12   161973  ActiveRecord::QueryMethods#collapse_wheres (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation/query_methods.rb:245}
  0.24      1.58     1.58     0.00     0.00   511874  Hash#keys (ruby_runtime:0}
  0.24      1.57     1.57     0.00     0.00   949033  String#intern (ruby_runtime:0}
  0.24      1.57     1.57     0.00     0.00  1328520  Hash#has_key? (ruby_runtime:0}
  0.24    162.64     1.57     0.00   161.28   223309  ActiveRecord::Relation#method_missing (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:451}
  0.23    143.27     1.55     0.00   141.72   192558  ActiveRecord::ConnectionAdapters::AbstractAdapter#log (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract_adapter.rb:238}
  0.23      1.54     1.54     0.00     0.00   549954  Regexp#=~ (ruby_runtime:0}
  0.23      1.53     1.53     0.00     0.00   303346  <Class::Hash>#[] (ruby_runtime:0}
  0.23      6.97     1.52     0.00     5.45   683932  Kernel#initialize_clone (ruby_runtime:0}
  0.23      1.52     1.52     0.00     0.00   633603  <Class::Stat(id: integer, mean: float, sd: float, presence: float, statable_id: integer, statable_type: string, pop: integer, created_at: datetime, updated_at: datetime)>#table_name (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/attribute_methods.rb:116}
  0.22      4.83     1.48     0.00     3.34   552733  Arel::Table#[] (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/table.rb:114}
  0.22     23.12     1.48     0.00    21.64   192471  Arel::Visitors::ToSql#visit_Arel_Nodes_Equality (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:344}
  0.22    214.18     1.47     0.00   212.71   161650  <Class::ActiveRecord::Base>#find_by_sql (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:469}
